"Virus","Domain","Realm","Kingdom","Phylum","Class","Order","Family"
"Sentinel_4_S4_242573_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_4_S4_375388_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Kyanoviridae"
"Sentinel_4_S4_217786_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_4_S4_890533_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_4_S4_447097_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_4_S4_847286_extended_partial","Viruses","Viruses Domain","Viruses Domain","Viruses Domain","Viruses Domain","Viruses Domain","Viruses Domain"
"Sentinel_20_S20_47707_extended_circular","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons"
"Sentinel_20_S20_573640_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_20_S20_287099_extended_partial","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Megaviricetes Class","Megaviricetes Class"
"Sentinel_20_S20_110403_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_20_S20_334749_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_20_S20_475499_extended_partial","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons"
"Sentinel_21_S21_287598_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_21_S21_685359_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_21_S21_629513_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_21_S21_191340_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_21_S21_417895_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_21_S21_117971_extended_partial","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons"
"Sentinel_21_S21_373639_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_21_S21_89423_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_21_S21_754750_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Kyanoviridae"
"Sentinel_21_S21_733013_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_9_S9_652693_extended_partial","Viruses","Monodnaviria","Loebvirae","Hofneiviricota","Faserviricetes","Tubulavirales","Inoviridae"
